shop_name,id,closest_mrt,distance_to_mrt
波霸奶奶,ChIJmZL590upQjQR2KzHQKk1Tlg,江子翠站出口3,154.37020948230077
Kebuke Banqiao Yangming,ChIJx-dmmhaoQjQRPvXKfPHRNI4,新埔站出口1,289.5263399307339
魚池貳壹-西門店,ChIJla7DsxqpQjQR-caD0QedK9E,西門站出口5,268.61112765479123
兩良紅茶（蘆洲店）,ChIJqbAVWQCpQjQRLdTeQq8kTj4,三民高中站出口1,237.0087549938927
萬波島嶼紅茶 Wanpo Tea Shop 台北大安店,ChIJH7dC1nyrQjQRbZNhRaUtdnA,大安站出口6,352.8751598284663
不一樣珍珠奶茶店,ChIJ--XfZKcCaDQR3hYcWB8n9qY,府中站出口2,182.50018853368013
CoCo Zhonghe Xingnan,ChIJoZDOfHECaDQRzFGqQiwJf3Q,南勢角站出口4,129.56308595347576
鶴茶樓-鶴頂紅茶商店（新店七張店）,ChIJ6cF8XgABaDQRDjKIESr-7Qs,七張站出口1,127.18780976011779
min cha,ChIJyyA6rUGpQjQRpq5ia6fTp3g,中山站出口2,112.40655605574739
TRUEDAN Neihu Jiangnan Shop,ChIJNw_3q2SsQjQRCZNWX2ndnbQ,港墘站出口1,378.64530039403365
得正#台北昆陽計劃,ChIJ68RKXwCrQjQR9HLN3XAXApY,昆陽站出口4,63.05622755559355
CUPFY,ChIJ7Xo9CgCrQjQRJ3zRBBRpEHA,台北101/世貿站出口2,144.97882894683158
玉琪咖啡茶飲Coffee & Bubble Tea-北投市場.樂活名攤,ChIJDbSXdVquQjQRFyHtOnOFG8Q,北投站出口2,453.41054029279746
成隆號手作飲品,ChIJMxJVQQCvQjQRL6TyyHRNG8Q,石牌站出口1,190.84690077112307
功夫茶 KUNG FU TEA 三重五華店,ChIJD6GleOOpQjQRE8XLudX87SE,三和國中站出口2,864.388436278155
福爾摩茶 FormosaTê,ChIJj6yHKqurQjQRIRk0NmsFmlk,市政府站出口4,318.1836524372656
小茶齋 新莊店（自取買五送一）,ChIJAyRL9e2nQjQR0_VEFPzlehI,丹鳳站出口2,492.8968366053492
John's Tea Company,ChIJKRoVhNurQjQRrefYXsx4-Zg,市政府站出口4,248.1618678736124
秀茶邸家,ChIJg6VhLT6rQjQRMvlGH7f7qqs,市政府站出口4,145.55220354490746
Nap Tea New Taipei Minquan,ChIJU2B0E-4DaDQRlMOj35uOlVs,大坪林站出口1,529.0890174135305
壺口調茶手作特調茶飲-8號茶舖,ChIJVxrOLnOpQjQR9TudxLRXy20,蘆洲站出口1,1253.8200526076932
茶與布朗 Tea&Brown 信義店,ChIJAcVimmKrQjQRT9DE4qEqb5g,永春站出口2,244.28931098343725
TRUEDAN Xinyi City Hall Shop,ChIJ_____7irQjQRTnRjYBJb1ZU,市政府站出口1,17.606636499496325
進發家東門永康店,ChIJO0ztAMOpQjQRlM6WhkCszfc,東門站出口5,138.36743094525002
小茶悠子 Hide and Drink,ChIJa5BhJ66rQjQRFm013pZoC_k,中山國中站出口,492.67545350646907
50嵐 新店中正店,ChIJjdvyxh0CaDQRNUrPxcARwVk,新店區公所站出口2,346.5949836374774
COMEBUYTEA_信義威秀店,ChIJsYx1l8erQjQRRoxmTNfGFoU,象山站出口1,352.69044764975337
Yuqingjing Fresh Tea House Main Store,ChIJHbveRoeuQjQRqeiAUrSAPHk,北投站出口2,293.31864631918546
珍煮丹 台北合江店,ChIJa6f3KV2rQjQR2uSmEI3frxU,中山國中站出口,499.6190703035037
鶴茶樓- 鶴頂紅茶商店(忠孝復興店),ChIJ8WJJgNKrQjQRoC8uGCVNEQE,忠孝復興站出口4,316.1691779568257
Ten Ren's Tea,ChIJNxLfohipQjQRqfzp2Vum_uU,台北橋站出口,197.9095399648505
清心福全北投中和店 珍珠奶茶手搖飲專賣店,ChIJ7V744E6uQjQRvfAvoXXPo0k,新北投站出口2,529.878394841633
